role,feature,mean_day1,mean_day2,std_mean_diff,n_day1,n_day2,abs_std_mean_diff
SEER,Vote_recepient_id_contradiction,0.022222222222222223,0.0,-0.21201295939044615,90,20,0.21201295939044615
SEER,Dis_id_ReqListen,0.12,0.0625,-0.18341795186685883,75,16,0.18341795186685883
SEER,Sus_recepient_id_Mt,2.6153846153846154,2.1785714285714284,-0.11735578125647488,130,28,0.11735578125647488
SEER,Agr_id_Req(T),1.558139534883721,2.142857142857143,0.39230566818885504,43,7,0.39230566818885504
SEER,Fact_recepient_id_Vote,0.3225806451612903,0.2222222222222222,-0.19075545718372697,31,9,0.19075545718372697
SEER,Sus_recepient_id_Wait,0.2692307692307692,0.0,-0.6021529662826215,130,28,0.6021529662826215
SEER,Agr_id_Sus,2.1627906976744184,2.5714285714285716,0.1840989400789883,43,7,0.1840989400789883
SEER,Dis_id_calm,0.72,0.4375,-0.17226672947931645,75,16,0.17226672947931645
SEER,day1_vote_id_confused,0.21153846153846154,0.02403846153846154,-0.3862233996179114,208,208,0.3862233996179114
SEER,Dis_id_Admiration,0.0,0.0,,75,16,
SEER,Sus_recepient_id_Pers,1.1076923076923078,0.75,-0.18223083853351588,130,28,0.18223083853351588
SEER,Dis_id_Req(CO),0.0,0.0,,75,16,
